company_name,company_img,company_ALid,founder_name,founder_followers,founder_img,nfounder,founder_company_ALids,founder_score,ninvestor,investor_company_ALids,investor_score,nboard,board_company_ALids,board_score
1000memories,https://s3.amazonaws.com/photos.angel.co/startups/i/32603-01ace31b8afa9b91b680726ef19b5110-medium_jpg.jpg?buster=1370252887,32603,Rudy Adler,24,https://s3.amazonaws.com/photos.angel.co/users/249788-medium_jpg?1361398491,1,32603,10,0,32603,0.0,0,32603,0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Darren Nix,89,https://s3.amazonaws.com/photos.angel.co/users/53938-medium_jpg?1314384892,3,"[250172, 81396, 19928]",24,0,"[250172, 81396, 19928]",0.0,0,"[250172, 81396, 19928]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Jason Freedman,1725,https://s3.amazonaws.com/photos.angel.co/users/37820-medium_jpg?1316196009,2,"[33617, 19928]",14,0,"[33617, 19928]",0.0,0,"[33617, 19928]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Justin Bedecarré,437,https://s3.amazonaws.com/photos.angel.co/users/82693-medium_jpg?1364870723,2,"[273478, 19928]",13,0,"[273478, 19928]",0.0,0,"[273478, 19928]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Aaron O'Connell,34,https://s3.amazonaws.com/photos.angel.co/users/165765-medium_jpg?1345777087,4,"[19928, 117064, 117065, 117068]",21,0,"[19928, 117064, 117065, 117068]",0.0,0,"[19928, 117064, 117065, 117068]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Jon Bracy,49,https://s3.amazonaws.com/photos.angel.co/users/76598-medium_jpg?1353310798,2,"[19928, 33617]",14,0,"[19928, 33617]",0.0,0,"[19928, 33617]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,James Bracy,126,https://s3.amazonaws.com/photos.angel.co/users/78480-medium_jpg?1328511338,2,"[19928, 33617]",14,0,"[19928, 33617]",0.0,0,"[19928, 33617]",0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Ben Ehmke,94,https://s3.amazonaws.com/photos.angel.co/users/59951-medium_jpg?1316711246,1,[19928],9,0,[19928],0.0,0,[19928],0.0
42Floors,https://s3.amazonaws.com/photos.angel.co/startups/i/19928-0845bda82c37fb7869e44ce421562049-medium_jpg.jpg?buster=1333574722,19928,Alison Di Spaltro,18,https://graph.facebook.com/alison.dispaltro/picture?type=square,1,[19928],9,0,[19928],0.0,0,[19928],0.0
500Friends,https://s3.amazonaws.com/photos.angel.co/startups/i/3678-31076a88a14f433e61cb407b7df1f5f2-medium_jpg.jpg?buster=1326854954,3678,Justin Yoshimura,940,https://s3.amazonaws.com/photos.angel.co/users/1546-medium_jpg?1351984779,1,[3678],10,12,[3678],116,1,[3678],8
500Friends,https://s3.amazonaws.com/photos.angel.co/startups/i/3678-31076a88a14f433e61cb407b7df1f5f2-medium_jpg.jpg?buster=1326854954,3678,Bob Tekiela,99,https://s3.amazonaws.com/photos.angel.co/users/41730-medium_jpg?1328160907,1,[3678],10,0,[3678],0.0,0,[3678],0.0
500Friends,https://s3.amazonaws.com/photos.angel.co/startups/i/3678-31076a88a14f433e61cb407b7df1f5f2-medium_jpg.jpg?buster=1326854954,3678,Hong Hu,56,https://angel.co/images/shared/nopic.png,1,[3678],10,0,[3678],0.0,0,[3678],0.0
99dresses,https://s3.amazonaws.com/photos.angel.co/startups/i/79556-5a4f3f4fb122167726ee1c213ff7fec5-medium_jpg.jpg?buster=1383082439,79556,Nikki Durkin,42,https://s3.amazonaws.com/photos.angel.co/users/35621-medium_jpg?1383095377,1,[79556],8,0,[79556],0.0,0,[79556],0.0
99dresses,https://s3.amazonaws.com/photos.angel.co/startups/i/79556-5a4f3f4fb122167726ee1c213ff7fec5-medium_jpg.jpg?buster=1383082439,79556,Marcin Popielarz,4,https://s3.amazonaws.com/photos.angel.co/users/432287-medium_jpg?1383142231,1,[79556],8,0,[79556],0.0,0,[79556],0.0
9GAG,https://s3.amazonaws.com/photos.angel.co/startups/i/19563-3bb24ef47482a01ad8e319328f00ca82-medium_jpg.jpg?buster=1355795963,19563,Ray Chan,427,https://s3.amazonaws.com/photos.angel.co/users/21086-medium_jpg?1307411724,2,"[19564, 19563]",15,0,"[19564, 19563]",0.0,0,"[19564, 19563]",0.0
9GAG,https://s3.amazonaws.com/photos.angel.co/startups/i/19563-3bb24ef47482a01ad8e319328f00ca82-medium_jpg.jpg?buster=1355795963,19563,Chris Chan,80,https://s3.amazonaws.com/photos.angel.co/users/36386-medium_jpg?1333387287,2,"[19564, 19563]",15,0,"[19564, 19563]",0.0,0,"[19564, 19563]",0.0
9GAG,https://s3.amazonaws.com/photos.angel.co/startups/i/19563-3bb24ef47482a01ad8e319328f00ca82-medium_jpg.jpg?buster=1355795963,19563,Marco Fung,78,https://s3.amazonaws.com/photos.angel.co/users/36387-medium_jpg?1308607006,1,[19563],10,0,[19563],0.0,0,[19563],0.0
9GAG,https://s3.amazonaws.com/photos.angel.co/startups/i/19563-3bb24ef47482a01ad8e319328f00ca82-medium_jpg.jpg?buster=1355795963,19563,Brian Yu,121,https://s3.amazonaws.com/photos.angel.co/users/57403-medium_jpg?1315912198,1,[19563],10,0,[19563],0.0,0,[19563],0.0
9GAG,https://s3.amazonaws.com/photos.angel.co/startups/i/19563-3bb24ef47482a01ad8e319328f00ca82-medium_jpg.jpg?buster=1355795963,19563,Derek Chan,21,https://angel.co/images/shared/nopic.png,1,[19563],10,0,[19563],0.0,0,[19563],0.0
